ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Ampol Denham Court,"194 CAMPBELLTOWN RD, DENHAM COURT NSW 2565",DENHAM COURT,2565,Ampol,U91,2026-04-01 00:06:24,239.5
Liberty Albert,"9, Melrose Road, Albert NSW 2873",Albert,2873,Liberty,U91,2026-04-01 00:22:59,274.9
Liberty Bourke,"96-104 ANSON ST, BOURKE NSW 2840",BOURKE,2840,Liberty,U91,2026-04-01 00:23:27,264.9
Liberty Bourke,"96-104 ANSON ST, BOURKE NSW 2840",BOURKE,2840,Liberty,P95,2026-04-01 00:23:27,274.9
SHELL TAMWORTH TRUCKSTOP (unmanned),"9-13 Gunnedah Road, Tamworth NSW 2340",Tamworth,2340,Shell,DL,2026-04-01 00:23:53,299.9
SHELL TAMWORTH TRUCKSTOP (unmanned),"9-13 Gunnedah Road, Tamworth NSW 2340",Tamworth,2340,Shell,DL,2026-04-01 00:24:05,299.9
Shell Port Kembla Truckstop (Unmanned),"87-89, Flinders Street, Port Kembla NSW 2505",Port Kembla,2505,Shell,DL,2026-04-01 00:24:31,293.9
SHELL Parramatta CVRO (Self-serve),"1 DURHAM ST, ROSEHILL NSW 2142",ROSEHILL,2142,Shell,DL,2026-04-01 00:24:58,294.9
SHELL NEVERTIRE TRUCKSTOP,"Mitchell Highway, Nevertire NSW 2826",Nevertire,2826,Shell,DL,2026-04-01 00:25:17,298.9
SHELL WAGGA WAGGA TRUCKSTOP,"Lot 4, Bomen Road, Wagga Wagga NSW 2650",Wagga Wagga,2650,Shell,PDL,2026-04-01 00:25:44,296.9
Pearl Energy Greta,"122 High St, GRETA NSW 2334",GRETA,2334,Pearl Energy,E10,2026-04-01 00:41:57,255.5
Pearl Energy Greta,"122 High St, GRETA NSW 2334",GRETA,2334,Pearl Energy,U91,2026-04-01 00:41:57,257.5
Pearl Energy Greta,"122 High St, GRETA NSW 2334",GRETA,2334,Pearl Energy,P95,2026-04-01 00:41:57,271.5
Ampol Denham Court,"194 CAMPBELLTOWN RD, DENHAM COURT NSW 2565",DENHAM COURT,2565,Ampol,U91,2026-04-01 00:58:06,239.6
Ampol Denham Court,"194 CAMPBELLTOWN RD, DENHAM COURT NSW 2565",DENHAM COURT,2565,Ampol,U91,2026-04-01 00:58:12,239.6
Mobil Coolac,"495 COOLAC RD, COOLAC NSW 2727",COOLAC,2727,Mobil,E10,2026-04-01 01:24:25,244.5
Mobil Coolac,"495 COOLAC RD, COOLAC NSW 2727",COOLAC,2727,Mobil,P95,2026-04-01 01:24:25,259.5
Mobil Coolac,"495 COOLAC RD, COOLAC NSW 2727",COOLAC,2727,Mobil,U91,2026-04-01 01:24:25,246.5
Mobil Coolac,"495 COOLAC RD, COOLAC NSW 2727",COOLAC,2727,Mobil,P98,2026-04-01 01:24:25,269.5
Speedway Blacktown,"90 Blacktown Road, Blacktown NSW 2148",Blacktown,2148,Speedway,E10,2026-04-01 01:43:54,251.7
Speedway Blacktown,"90 Blacktown Road, Blacktown NSW 2148",Blacktown,2148,Speedway,U91,2026-04-01 01:43:54,253.7
Speedway Blacktown,"90 Blacktown Road, Blacktown NSW 2148",Blacktown,2148,Speedway,P98,2026-04-01 01:43:54,279.7
TASCO Hay Sturt Hwy,"Sturt Hwy & Archer St, HAY SOUTH NSW 2711",HAY SOUTH,2711,Shell,U91,2026-04-01 02:08:12,259.9
TASCO Hay Sturt Hwy,"Sturt Hwy & Archer St, HAY SOUTH NSW 2711",HAY SOUTH,2711,Shell,P95,2026-04-01 02:08:12,276.9
TASCO Hay Sturt Hwy,"Sturt Hwy & Archer St, HAY SOUTH NSW 2711",HAY SOUTH,2711,Shell,P98,2026-04-01 02:08:12,282.9
7-Eleven Greenacre,"301 Hume Hwy, GREENACRE NSW 2190",GREENACRE,2190,7-Eleven,U91,2026-04-01 02:13:41,259.9
Independent Barham,"50 Moulamein Rd, Barham NSW 2732",Barham,2732,BP,LPG,2026-04-01 02:18:40,137.9
TEMCO Petroleum,"190 WATERLOO RD, GREENACRE NSW 2190",GREENACRE,2190,TEMCO Petroleum,P98,2026-04-01 03:15:03,289.7
Mobil Tamworth West,"242-246 BRIDGE ST, WEST TAMWORTH NSW 2340",WEST TAMWORTH,2340,Mobil,P98,2026-04-01 03:19:06,271.5
