ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Tea Tree Roadhouse,"158 MOUNT DARRAGH RD, SOUTH PAMBULA NSW 2549",SOUTH PAMBULA,2549,Shell,U91,2026-08-01 00:11:49,207.9
Tea Tree Roadhouse,"158 MOUNT DARRAGH RD, SOUTH PAMBULA NSW 2549",SOUTH PAMBULA,2549,Shell,P98,2026-08-01 00:11:49,234.9
Tea Tree Roadhouse,"158 MOUNT DARRAGH RD, SOUTH PAMBULA NSW 2549",SOUTH PAMBULA,2549,Shell,DL,2026-08-01 00:11:49,249.9
BP Loftus,"127 Loftus Ave, Loftus NSW 2232",Loftus,2232,BP,PDL,2026-08-01 00:17:01,242.7
Mobil Muswellbrook,"49-51 Maitland St, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,Mobil,P98,2026-08-01 00:18:04,211.9
Mobil Muswellbrook,"49-51 Maitland St, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,Mobil,PDL,2026-08-01 00:18:04,232.9
Mobil Muswellbrook,"49-51 Maitland St, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,Mobil,U91,2026-08-01 00:18:04,189.9
Mobil Muswellbrook,"49-51 Maitland St, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,Mobil,E10,2026-08-01 00:18:04,187.9
BP KELSO,"63 SYDNEY RD, KELSO NSW 2795",KELSO,2795,BP,DL,2026-08-01 00:19:56,239.7
BP KELSO,"63 SYDNEY RD, KELSO NSW 2795",KELSO,2795,BP,U91,2026-08-01 00:19:56,203.9
BP KELSO,"63 SYDNEY RD, KELSO NSW 2795",KELSO,2795,BP,E10,2026-08-01 00:19:56,201.9
BP KELSO,"63 SYDNEY RD, KELSO NSW 2795",KELSO,2795,BP,P98,2026-08-01 00:19:56,227.9
BP WELLINGTON,"35A MAXWELL ST, WELLINGTON NSW 2820",WELLINGTON,2820,BP,DL,2026-08-01 00:26:41,242.5
MEDCO PETROLEUM ROSELANDS,"218 KING GEORGES RD, ROSELANDS NSW 2196",ROSELANDS,2196,Independent,DL,2026-08-01 00:30:09,231.7
BP RANDWICK,"8-10 Perouse Road, RANDWICK NSW 2031",RANDWICK,2031,BP,P98,2026-08-01 00:39:10,218.7
BP RANDWICK,"8-10 Perouse Road, RANDWICK NSW 2031",RANDWICK,2031,BP,E10,2026-08-01 00:39:10,193.7
BP RANDWICK,"8-10 Perouse Road, RANDWICK NSW 2031",RANDWICK,2031,BP,U91,2026-08-01 00:39:10,195.7
ASTRON YAGOONA WEST,"100 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,E10,2026-08-01 00:47:22,187.9
ASTRON YAGOONA WEST,"100 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,DL,2026-08-01 00:47:22,232.9
ASTRON YAGOONA WEST,"100 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,P98,2026-08-01 00:47:22,214.9
ASTRON YAGOONA WEST,"100 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,U91,2026-08-01 00:47:22,189.9
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,P98,2026-08-01 01:28:22,215.5
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,E10,2026-08-01 01:28:22,193.5
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,U91,2026-08-01 01:28:22,195.5
7-Eleven Muswellbrook,"31-33 MAITLAND ST, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,7-Eleven,P95,2026-08-01 01:48:12,208.9
7-Eleven Muswellbrook,"31-33 MAITLAND ST, MUSWELLBROOK NSW 2333",MUSWELLBROOK,2333,7-Eleven,U91,2026-08-01 01:48:12,191.9
