ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,E10,2026-02-01 00:05:31,148.5
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,DL,2026-02-01 00:05:31,162.5
Speedway Sunnyholt,"162 Sunnyholt Rd, Blacktown NSW 2148",Blacktown,2148,Speedway,E10,2026-02-01 00:07:43,173.5
Speedway Sunnyholt,"162 Sunnyholt Rd, Blacktown NSW 2148",Blacktown,2148,Speedway,U91,2026-02-01 00:07:43,175.5
Speedway Sunnyholt,"162 Sunnyholt Rd, Blacktown NSW 2148",Blacktown,2148,Speedway,P98,2026-02-01 00:07:43,194.5
7-Eleven Minchinbury,"1042 Great Western Highway, Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,E10,2026-02-01 00:33:12,186.9
7-Eleven Minchinbury,"1042 Great Western Highway, Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,U91,2026-02-01 00:33:12,188.9
7-Eleven Minchinbury,"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,E10,2026-02-01 00:33:12,176.9
7-Eleven Minchinbury,"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,U91,2026-02-01 00:33:12,178.9
7-Eleven Minchinbury,"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,P95,2026-02-01 00:33:12,191.9
7-Eleven Minchinbury,"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770",Minchinbury,2770,7-Eleven,P98,2026-02-01 00:33:12,198.9
7-Eleven Eastern Creek,"Lot 16 - 25 Great Western Highway, Eastern Creek NSW 2766",Eastern Creek,2766,7-Eleven,P95,2026-02-01 00:36:10,200.9
