ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,P98,2026-07-01 00:01:54,168.9
BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,U91,2026-07-01 00:01:54,169.9
BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,PDL,2026-07-01 00:01:54,189.9
BP Mascot,"1077 Botany Road, Mascot NSW 2020",Mascot,2020,BP,P98,2026-07-01 00:02:14,189.9
Medco Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530,Independent,U91,2026-07-01 00:02:32,179.7
Medco Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530,Independent,P95,2026-07-01 00:02:32,187.7
Medco Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530,Independent,E10,2026-07-01 00:02:32,177.7
Medco Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530,Independent,DL,2026-07-01 00:02:32,179.5
Medco Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530,Independent,P98,2026-07-01 00:02:32,193.7
ARKO ENERGY FORESTVILLE,"656 WARRINGAH RD, FORESTVILLE NSW 2087",FORESTVILLE,2087,Arko Energy,E10,2026-07-01 00:12:07,161.9
ARKO ENERGY FORESTVILLE,"656 WARRINGAH RD, FORESTVILLE NSW 2087",FORESTVILLE,2087,Arko Energy,U91,2026-07-01 00:12:07,163.9
ARKO ENERGY FORESTVILLE,"656 WARRINGAH RD, FORESTVILLE NSW 2087",FORESTVILLE,2087,Arko Energy,P98,2026-07-01 00:12:07,189.9
ARKO ENERGY FORESTVILLE,"656 WARRINGAH RD, FORESTVILLE NSW 2087",FORESTVILLE,2087,Arko Energy,DL,2026-07-01 00:12:07,189.9
