ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Metro St Marys,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",ST MARYS,2760,Metro Fuel,U91,2026-06-01 00:58:18,170.5
Metro St Marys,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",ST MARYS,2760,Metro Fuel,E10,2026-06-01 00:58:18,168.5
Metro St Marys,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",ST MARYS,2760,Metro Fuel,P98,2026-06-01 00:58:18,190.5
Metro St Marys,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",ST MARYS,2760,Metro Fuel,PDL,2026-06-01 00:58:18,216.9
Ampol Winmalee,"281 Hawkesbury Rd, Winmalee NSW 2777",Winmalee,2777,Ampol,U91,2026-06-01 02:04:09,179.5
Metro Tahmoor,"SHOP 1 2790 REMEMBRANCE DVWY, TAHMOOR NSW 2573",TAHMOOR,2573,Metro Fuel,PDL,2026-06-01 03:16:09,215.9
Metro Tahmoor,"SHOP 1 2790 REMEMBRANCE DVWY, TAHMOOR NSW 2573",TAHMOOR,2573,Metro Fuel,E10,2026-06-01 03:16:09,176.9
Independent Inverell,"24 Glen Innes Road, Inverell NSW 2360",Inverell,2360,Independent,U91,2026-06-01 03:27:25,182.9
Independent Inverell,"24 Glen Innes Road, Inverell NSW 2360",Inverell,2360,Independent,DL,2026-06-01 03:27:25,215.9
WESTSIDE PETROLEUM BUNDANOON,"61 RAILWAY AV, BUNDANOON NSW 2578",BUNDANOON,2578,Westside,DL,2026-06-01 04:18:33,229.9
SHELL UNANDERRA,"40 PRINCES HWY, UNANDERRA NSW 2526",UNANDERRA,2526,Shell,DL,2026-06-01 04:23:47,225.7
SHELL UNANDERRA,"40 PRINCES HWY, UNANDERRA NSW 2526",UNANDERRA,2526,Shell,U91,2026-06-01 04:23:47,185.7
