ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,E10,2026-03-01 00:05:26,194.9
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,U91,2026-03-01 00:05:26,196.9
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,P95,2026-03-01 00:05:26,209.9
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,P98,2026-03-01 00:05:26,219.9
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,E85,2026-03-01 00:05:26,194.9
Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,P98,2026-03-01 00:06:01,216.9
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,E10,2026-03-01 00:31:04,155.5
Medco Waratah,"36 LORNA ST, WARATAH NSW 2298",WARATAH,2298,Independent,DL,2026-03-01 00:31:04,164.5
Metro Petroleum South Hurstville,"928-930 KING GEORGES RD, BLAKEHURST NSW 2221",BLAKEHURST,2221,Metro Fuel,E10,2026-03-01 02:26:11,159.9
Metro Petroleum South Hurstville,"928-930 KING GEORGES RD, BLAKEHURST NSW 2221",BLAKEHURST,2221,Metro Fuel,U91,2026-03-01 02:26:11,165.9
Metro Petroleum South Hurstville,"928-930 KING GEORGES RD, BLAKEHURST NSW 2221",BLAKEHURST,2221,Metro Fuel,PDL,2026-03-01 02:26:11,167.7
Metro Belmore,"607 Canterbury Road, Belmore NSW 2192",Belmore,2192,Metro Fuel,E10,2026-03-01 04:26:26,197.7
Metro Belmore,"607 Canterbury Road, Belmore NSW 2192",Belmore,2192,Metro Fuel,U91,2026-03-01 04:26:26,199.7
Metro Belmore,"607 Canterbury Road, Belmore NSW 2192",Belmore,2192,Metro Fuel,P95,2026-03-01 04:26:26,209.7
Metro Belmore,"607 Canterbury Road, Belmore NSW 2192",Belmore,2192,Metro Fuel,P98,2026-03-01 04:26:26,219.7
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,E10,2026-03-01 04:52:12,149.9
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,U91,2026-03-01 04:52:12,151.9
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,P95,2026-03-01 04:52:12,164.9
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,P98,2026-03-01 04:52:12,175.9
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,PDL,2026-03-01 04:52:12,174.9
Budget Oatley,"12B Oatley Parade, Oatley NSW 2223",Oatley,2223,Budget,E10,2026-03-01 04:52:48,170.9
Budget Oatley,"12B Oatley Parade, Oatley NSW 2223",Oatley,2223,Budget,U91,2026-03-01 04:52:48,179.9
Budget Oatley,"12B Oatley Parade, Oatley NSW 2223",Oatley,2223,Budget,P95,2026-03-01 04:52:48,196.9
