ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
TASCO Hay Sturt Hwy,"Sturt Hwy & Archer St, HAY SOUTH NSW 2711",HAY SOUTH,2711,Shell,DL,2026-05-01 02:09:10,256.9
Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",Bulli,2516,Reddy Express,U91,2026-05-01 04:00:33,170.9
TASCO Wagga Fernleigh Rd,"131 Fernleigh Road, Wagga Wagga NSW 2650",Wagga Wagga,2650,Ampol,PDL,2026-05-01 04:35:59,249.9
BP Bankstown,"126 CHAPEL RD, BANKSTOWN NSW 2200",BANKSTOWN,2200,BP,PDL,2026-05-01 04:37:00,249.9
Pearl Energy Narooma,"60 PRINCES HWY, NAROOMA NSW 2546",NAROOMA,2546,Pearl Energy,E10,2026-05-01 05:01:17,192.9
Pearl Energy Narooma,"60 PRINCES HWY, NAROOMA NSW 2546",NAROOMA,2546,Pearl Energy,U91,2026-05-01 05:01:17,192.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,P98,2026-05-01 05:05:29,205.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,E10,2026-05-01 05:05:29,179.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,DL,2026-05-01 05:05:29,246.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,PDL,2026-05-01 05:05:29,246.9
METRO PETROLEUM FYSHWICK,"MOBIL OUTLET 15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel,U91,2026-05-01 05:05:29,183.9
Calvi Petrol Station,"320 Lane Cove Road, North Ryde NSW 2113",North Ryde,2113,Calvi Petrol,PDL,2026-05-01 05:45:23,235.9
TASCO Tarcutta Hume Hwy,"Hume Highway, TARCUTTA NSW 2652",TARCUTTA,2652,Ampol,PDL,2026-05-01 05:55:07,251.9
TASCO Tarcutta Hume Hwy,"Hume Highway, TARCUTTA NSW 2652",TARCUTTA,2652,Ampol,DL,2026-05-01 05:55:07,248.9
Astron Rydalmere,262 - 272 VICTORIA RD Rydalmere NSW 2116,Rydalmere,2116,ASTRON,U91,2026-05-01 06:14:32,177.5
7-Eleven Bankstown Airport,"335 HENRY LAWSON DR, BANKSTOWN AERODROME NSW 2200",BANKSTOWN AERODROME,2200,7-Eleven,P95,2026-05-01 06:15:45,175.9
7-Eleven Bankstown Airport,"335 HENRY LAWSON DR, BANKSTOWN AERODROME NSW 2200",BANKSTOWN AERODROME,2200,7-Eleven,P98,2026-05-01 06:15:45,173.9
